time;program;event;period;
21568.175777;perf;cycles;1;
21568.175787;perf;cycles;1;
21568.175787;perf;instructions;1;
21568.175795;perf;branches;1;
21568.175795;perf;cycles;13;
21568.175796;perf;instructions;1;
21568.175804;perf;branches;1;
21568.175805;perf;branch-misses;1;
21568.175806;perf;cycles;204;
21568.175806;perf;instructions;16;
21568.175808;perf;branches;14;
21568.175808;perf;branch-misses;1;
21568.175809;perf;cycles;2577;
21568.175809;perf;instructions;203;
21568.17581;perf;branches;528;
21568.175811;perf;branch-misses;40;
21568.175811;perf;cycles;117506;
21568.175812;perf;instructions;9211;
21568.175817;perf;branches;24889;
21568.175819;perf;branch-misses;1889;
21568.175826;perf;instructions;441560;
21568.175827;perf;context-switches;1;
21568.175842;migration/0;context-switches;1;
21568.175863;perf;cycles;1;
21568.17587;perf;cycles;1;
21568.175871;perf;instructions;1;
21568.175879;perf;branches;1;
21568.175879;perf;cycles;19;
21568.17588;perf;instructions;1;
21568.175888;perf;branches;1;
21568.175888;perf;branch-misses;1;
21568.175889;perf;cycles;275;
21568.175889;perf;instructions;15;
21568.17589;perf;branches;15;
21568.175891;perf;branch-misses;1;
21568.175891;perf;cycles;3821;
21568.175892;perf;instructions;216;
21568.175893;perf;branches;695;
21568.175894;perf;branch-misses;48;
21568.175894;perf;instructions;10393;
21568.175895;perf;cycles;183852;
21568.175899;perf;branches;34073;
21568.175902;perf;branch-misses;2279;
21568.175906;perf;instructions;584948;
21568.175907;perf;context-switches;1;
21568.175918;migration/1;context-switches;1;
21568.17595;perf;cycles;1;
21568.175957;perf;cycles;1;
21568.175957;perf;instructions;1;
21568.175964;perf;branches;1;
21568.175964;perf;cycles;20;
21568.175965;perf;instructions;1;
21568.175972;perf;branches;1;
21568.175973;perf;branch-misses;1;
21568.175973;perf;cycles;361;
21568.175973;perf;instructions;19;
21568.175975;perf;branches;16;
21568.175975;perf;branch-misses;1;
21568.175976;perf;cycles;5358;
21568.175976;perf;instructions;283;
21568.175977;perf;branches;750;
21568.175978;perf;branch-misses;49;
21568.175978;perf;instructions;13714;
21568.17598;perf;cycles;260514;
21568.175983;perf;branch-misses;2494;
21568.175985;perf;branches;38444;
21568.17599;perf;context-switches;1;
21568.175992;migration/2;instructions;842548;
21568.175999;migration/2;context-switches;1;
21568.176027;perf;cycles;1;
21568.176035;perf;cycles;1;
21568.176036;perf;instructions;1;
21568.176044;perf;branches;1;
21568.176045;perf;cycles;17;
21568.176046;perf;instructions;1;
21568.176056;perf;branches;1;
21568.176057;perf;branch-misses;1;
21568.176057;perf;cycles;226;
21568.176058;perf;instructions;14;
21568.17606;perf;branches;12;
21568.176061;perf;branch-misses;1;
21568.176061;perf;cycles;2491;
21568.176062;perf;instructions;155;
21568.176064;perf;branches;380;
21568.176065;perf;branch-misses;33;
21568.176065;perf;cycles;80632;
21568.176066;perf;instructions;4992;
21568.176069;perf;branches;12866;
21568.176071;perf;branch-misses;1042;
21568.176075;perf;instructions;160018;
21568.176096;perf;cycles;2586529;
21568.176132;perf;branch-misses;21626;
21568.176158;perf;branches;316545;
21568.176163;perf;page-faults;1;
21568.176165;swapper;cycles;5620568;
21568.176171;perf;page-faults;1;
21568.176171;swapper;context-switches;1;
21568.176181;perf;page-faults;1;
21568.176182;perf;page-faults;1;
21568.176187;perf;page-faults;16;
21568.176189;perf;page-faults;1;
21568.176194;perf;page-faults;1;
21568.176282;perf;instructions;2279981;
21568.176282;perf;branches;473451;
21568.176283;perf;context-switches;1;
21568.176389;perf;branch-misses;30034;
21568.176462;perf;instructions;4356086;
21568.176554;perf;page-faults;17;
